name,gsr_y,dvars_vstd,fd_mean,fber,tsnr,snr,mriqc_fail
sub-s598_stroop,-0.9288958565552208,0.30353432784453555,-0.7612826743879855,1.5184880717569942,-0.2567985513346193,1.9141500975884378,0
sub-s598_motorSelectiveStop,-2.1051556369585223,0.13274265842832292,-0.6890302266609111,0.7201257421430748,-2.9774387428087823,1.191009682842273,0
sub-s598_DPX,0.6501858581661087,0.028406219139086544,-0.9073412887199365,-0.4939566279361133,0.04271270841153319,1.8221150547049911,0
sub-s598_rest,0.7899347867518671,0.21654242208227975,-0.9387885588065717,-0.7244866118713933,-0.4590474450260106,2.013686684737345,0
sub-s598_discountFix,-1.5277401511862163,-0.04660759265963692,-0.5494737280865094,0.7227470755051079,-2.0988528905077364,0.9168371451934416,0
sub-s553_discountFix,-0.05581837409975697,-0.26468645482669956,-0.2882594594122016,-0.7903993359901174,-0.7838454936917065,2.2617481127552086,0
sub-s553_surveyMedley,1.3586144362816575,-0.19464360786611898,-0.3497598335117077,-0.7678549908741145,0.21700783976912616,2.4801722525278245,0
sub-s553_rest,1.024960629486638,0.03910536420381499,-0.33524572624060667,-0.8299315717641269,-0.032593238680078476,2.5575679638557975,0
sub-s553_motorSelectiveStop,0.27546182328166713,-0.1416980925663928,-0.3291119831042665,-0.850723186069101,-0.4903245824492973,2.4987066515141727,0
sub-s553_DPX,-0.9909868625263619,-0.3323687686175055,-0.245722365463396,-0.5373526434559461,-0.9620566331674866,2.105312689694043,0
sub-s553_stroop,1.7587195261395447,-0.04515804659784233,-0.2602818978246037,-0.8674935206785054,0.1612708977800903,2.5293576293225355,0
sub-s553_WATT3,-1.8569575762353778,-0.42147001002941176,-0.44919162681527364,0.4997655815285181,-0.758354571825017,1.3068917877916588,1
sub-s553_rest,0.9802642744228539,-0.3039054974171205,-0.5842156731782312,-0.4733538364635853,-0.5935434780922144,2.353065603497045,0
sub-s553_twoByTwo,-0.22336170042611903,-0.4150606882696538,-0.6235541401980297,-0.49731946654177456,0.318798911578857,1.9201238625570172,1
sub-s553_CCTHot,-0.10250689838293511,-0.5578586673678732,-0.4494166053087776,-0.6657298313534448,0.17953524108553726,1.5528524815421847,1
sub-s553_stopSignal,1.1928371047005637,-0.29179552890159405,-0.6445944317445697,-0.7292552588090248,-0.2325609010019682,2.533607095665589,1
sub-s553_ANT,1.2985033738826603,-0.3314897547548907,-0.4712714975382298,-0.6571236559073141,0.1659678725435309,1.8242417500510746,1
sub-s591_motorSelectiveStop,0.3955378515950235,1.031393424146076,-0.8720904018227125,-0.4878779025314849,-0.5070068772999695,-0.6064434137077376,0
sub-s591_surveyMedley,0.9371028493713124,1.0523517280893449,-0.8825535402378836,-0.41713764655168795,0.23959460006489897,-0.5571606828677305,0
sub-s591_rest,0.6501589617421587,1.1085643378089087,-0.8625863881955249,-0.3528481826871975,-0.25298378106092345,-0.5680583739489858,0
sub-s591_stroop,1.7999003963365812,1.0452330730723058,-0.9284578537386575,-0.731721354653045,0.22789069845092094,-0.5910503052496141,0
sub-s591_DPX,0.09772169586640915,1.0081188607113984,-0.9387111553570185,-0.353648265659672,-0.21746330878572243,-0.5753949446152081,0
sub-s591_discountFix,0.10148169367815899,1.0695167333565738,-0.8115211290725279,-0.4372273576543949,-0.601209494670432,-0.7318424425967204,0
sub-s591_rest,0.8510287911897676,1.0598833985030829,-0.8580361953394415,-0.9332000556438428,-0.062496548605675696,-0.5697847856855721,0
sub-s591_twoByTwo,0.784108043272497,0.9223173851574968,-0.9533585999572695,-0.8034662186074268,-0.3170293477440949,-0.6460054563272954,0
sub-s591_ANT,0.937744084569577,1.0209505309915798,-0.9180967522796031,-0.8351951973873972,-0.052064975381894855,-0.6165034071899325,0
sub-s591_stopSignal,1.2599106732084575,1.046964615903192,-0.9030792400920968,-0.9489212074265225,0.09345858629934076,-0.6001873974760512,0
sub-s591_CCTHot,0.5960445793193062,0.985445425892155,-0.9016519656815135,-0.8973967426183285,-0.3050833166696763,-0.6720013259372034,0
sub-s591_WATT3,1.1551423778168777,0.7984545868621012,-0.8828729848391603,-0.741142593232312,0.10402181152774764,-0.642018242160524,0
sub-s596_rest,0.6650363518807325,-0.9552399791151425,-0.7032043237426839,-0.8538103890641142,-0.051431711334655204,1.2723807598214272,0
sub-s596_twoByTwo,0.14374881263336012,-0.8563819026982282,-0.6716797632042353,-0.6190312439292163,-0.529050204466943,1.1206732718220582,0
sub-s596_WATT3,-0.22199059408702704,-0.8231071484659758,-0.6732811671268706,-0.04852100505494453,-0.44090537252599415,1.302397804311582,0
